Property ID,Property Type,Bedrooms,Bathrooms,Floor Area,Postcode,Published Date,Price,Tenure,Council Tax Band,Parking,Garden,Distance From Nearest Station,Marketed By
149651435,Apartment,2,2,108,E14,2024-06-28,875000,Share of Freehold,G,True,False,0.2, The Estate Agency
148833794,Apartment,3,2,144,E14,2024-06-06,650000,Leasehold,0,False,False,0.2, JLL
147748433,Apartment,2,2,91,E1,2024-05-08,875000,Leasehold,F,False,False,0.1, Winkworth
144696206,Flat,2,2,86,E1,2024-02-13,875000,Leasehold,0,False,True,0.1, Chestertons
139251158,Flat,2,1,96,E1,2023-10-15,875000,Share of Freehold,F,False,True,0.1, EweMove
147970295,Flat,2,2,96,0,2024-06-24,875000,Share of Freehold,0,True,False,0.3, Dexters
147051752,Flat,3,2,86,E1,2024-04-19,875000,Leasehold,0,False,True,0.1, Foxtons
146007296,Flat,2,2,123,E14,2024-06-03,875000,Leasehold,0,False,False,0.0, Foxtons
149068298,Apartment,2,2,97,E14,2024-06-13,875000,Share of Freehold,F,True,False,0.2, Knight Frank
148452047,Apartment,2,2,98,0,2024-05-28,875000,Leasehold,G,True,True,0.8, Ashley King
146173733,Flat,2,2,98,E14,2024-07-03,875000,Leasehold,0,False,True,0.4, Foxtons
147742244,Apartment,2,2,76,E14,2024-05-08,875000,Leasehold,F,False,False,0.1, Franklyn James
141463475,Apartment,2,2,96,E14,2023-10-31,875000,Leasehold,0,False,True,0.0, JOHNS&CO
142196348,Terraced,3,1,144,0,2024-02-02,875000,Freehold,0,False,True,0.3, Dexters
149966741,Apartment,3,3,94,E1,2024-07-08,875000,Leasehold,F,False,True,0.7, CBRE Residential
148383386,Apartment,2,2,80,E14,2024-05-24,875000,Leasehold,0,False,True,0.0, Savills New Homes
143820770,Apartment,2,2,82,E1,2024-04-24,875000,Leasehold,F,False,False,0.1, Winkworth
134804645,Apartment,2,2,87,E14,2021-11-03,870000,Leasehold,F,True,False,0.1, Madison Brook
143075939,Apartment,1,1,48,E14,2023-12-20,870000,Leasehold,0,True,True,0.2, Allie Home
150034934,End of Terrace,4,3,135,E14,2024-03-22,870000,Freehold,F,True,True,0.2, Victorstone
150075215,Apartment,2,1,96,E1,2024-07-09,870000,Leasehold,0,False,True,0.1, Hurford Salvi Carr
145361900,Flat,2,2,96,E14,2024-03-03,868250,Leasehold,0,False,False,0.2, Knight Frank - New Homes
86796042,Apartment,2,1,96,0,2023-12-18,865000,Leasehold,F,False,False,0.2, Scott City Residential
146885957,Apartment,2,2,96,E1,2024-04-16,860000,Leasehold,E,False,False,0.4, Knight Frank
146723219,Terraced,3,3,137,E14,2024-04-11,860000,Freehold,0,True,True,0.1, Foxtons
145802675,Flat,2,1,61,E3,2024-03-25,375000,Leasehold,0,False,False,0.2, Foxtons
